time,bar,dining bar,izakaya,spain bar/italian bar,western food,sweet,creation,creative japanese,grilled meat,international cuisine,italian and franch,japanese cuisine/kaiseki,japanese food in general,japanese style,japanese food,shabu-shabu/sukiyaki,amusement,korean cuisine,okonomiyaki/monja/teppanyaki,seafood,other,asian
2016/1/29,10,3,17,66,11,5,126,23,109,190,108,19,34,568,6,21,15,22,16,91,0,31
2016/1/3,2,1,2,20,3,2,38,3,31,54,19,4,6,114,0,3,1,3,3,26,0,3
2016/1/30,8,3,15,60,17,8,136,23,101,163,104,14,27,550,7,27,23,18,13,104,0,20
2016/1/31,5,2,7,30,15,7,46,11,73,89,54,9,10,198,0,10,12,8,11,32,0,13
2016/1/4,1,0,8,15,5,2,25,6,29,44,18,2,5,99,1,6,1,5,4,19,0,4
2016/1/5,2,0,6,18,4,3,26,9,18,44,29,4,8,85,3,2,3,1,3,14,0,2
2016/1/6,2,2,7,24,5,0,25,2,29,45,41,3,10,126,2,2,3,7,6,19,0,9
2016/1/7,1,0,13,24,2,1,32,7,16,39,34,8,9,131,2,3,1,7,4,15,0,11
2016/1/8,10,3,15,39,9,3,83,12,62,102,56,6,22,335,6,14,10,13,5,63,0,17
2016/1/9,11,4,15,43,9,6,101,14,66,126,68,11,28,336,6,13,10,9,14,63,0,16
2016/10/1,7,0,0,77,17,5,116,22,132,175,106,22,27,499,0,24,19,13,16,101,0,26
2016/10/10,3,0,0,42,13,6,47,14,90,124,68,10,15,205,0,13,13,12,13,37,0,17
2016/10/11,4,0,0,40,9,5,54,13,72,105,57,7,17,238,0,15,7,14,8,51,0,15
2016/10/12,4,0,0,40,10,5,71,10,59,109,64,11,19,321,0,16,9,7,8,53,0,17
2016/10/13,6,0,0,38,7,4,74,6,63,127,57,10,23,304,0,11,4,13,7,51,0,17
2016/10/14,8,0,0,82,12,6,136,25,115,211,116,23,32,646,0,30,13,15,18,124,0,37
2016/10/15,13,0,0,85,19,10,149,19,127,205,105,16,33,581,0,23,21,17,10,97,0,32
2016/10/16,5,0,0,36,11,9,56,12,96,118,71,12,17,250,0,19,16,6,13,47,0,23
2016/10/17,5,0,0,32,10,4,50,11,55,80,53,8,15,213,0,12,7,9,8,39,0,9
2016/10/18,7,0,0,43,6,5,52,17,53,97,57,13,15,266,0,9,9,11,4,45,0,18
2016/10/19,6,0,0,40,8,9,71,14,72,123,90,19,17,345,0,16,16,7,8,53,0,21
2016/10/2,7,0,0,43,14,5,46,11,85,95,70,16,9,212,0,10,18,10,12,34,0,21
2016/10/20,2,0,0,43,8,5,70,14,71,117,64,14,27,317,0,17,7,10,10,50,0,15
2016/10/21,10,0,0,93,17,11,145,23,134,240,118,18,28,681,0,30,19,19,20,121,0,36
2016/10/22,11,0,0,94,22,12,148,33,156,237,120,22,34,630,0,28,31,19,22,118,0,33
2016/10/23,7,0,0,41,10,8,56,12,96,121,74,19,13,277,0,21,15,10,17,43,0,15
2016/10/24,3,0,0,40,7,6,33,9,42,96,47,8,9,220,0,16,9,6,5,31,0,11
2016/10/25,2,0,0,52,10,3,59,12,73,102,58,12,13,290,0,20,6,13,5,46,0,21
2016/10/26,5,0,1,50,9,5,86,13,85,125,78,8,18,343,0,17,12,14,11,66,0,28
2016/10/27,3,18,41,47,14,9,73,22,78,149,105,12,22,392,16,19,10,17,16,73,2,21
2016/10/28,19,22,51,97,21,18,160,27,145,274,173,29,37,745,17,35,21,31,27,154,2,29
2016/10/29,15,20,52,90,22,18,168,29,166,257,157,25,31,667,13,36,32,34,28,115,2,33
2016/10/3,0,0,0,28,2,3,35,8,44,69,48,6,12,204,0,11,10,7,4,29,0,18
2016/10/30,8,9,26,56,15,16,76,11,109,159,108,19,18,286,10,18,23,17,20,46,1,17
2016/10/31,8,10,31,46,15,13,61,12,69,124,93,10,11,253,4,16,16,14,13,40,0,19
2016/10/4,3,0,0,36,8,5,46,14,46,83,50,5,15,188,0,12,5,9,9,48,0,11
2016/10/5,8,0,0,34,10,4,61,15,52,109,65,8,22,261,0,11,9,9,6,49,0,18
2016/10/6,5,0,0,40,8,7,51,18,60,125,60,14,17,286,0,16,7,12,15,39,0,16
2016/10/7,10,0,0,90,16,6,128,25,126,216,98,13,34,621,0,26,21,15,17,106,0,33
2016/10/8,10,0,0,76,14,9,132,23,141,185,99,18,32,530,0,29,29,23,18,90,0,22
2016/10/9,7,0,0,72,14,9,113,23,128,171,93,21,26,418,0,20,24,19,17,85,0,24
2016/11/1,7,8,31,36,10,10,41,10,49,84,73,8,28,219,10,17,6,8,12,35,2,17
2016/11/10,7,16,43,50,12,10,58,15,68,125,102,17,23,350,14,21,8,15,12,59,1,14
2016/11/11,10,21,54,81,22,17,134,26,138,219,146,20,39,653,15,28,21,28,22,124,2,34
2016/11/12,13,23,49,89,24,18,156,31,148,236,147,32,34,647,15,35,30,26,20,119,2,38
2016/11/13,4,9,33,43,12,18,63,14,96,98,111,22,26,276,9,14,23,18,15,58,1,22
2016/11/14,4,13,31,49,14,8,50,9,56,86,67,13,20,274,12,12,5,12,9,38,0,7
2016/11/15,5,9,39,40,11,8,89,13,65,133,83,14,14,295,12,14,11,22,12,44,1,8
2016/11/16,4,15,42,55,13,12,80,14,82,128,118,14,21,388,13,21,7,12,15,59,1,18
2016/11/17,11,17,43,53,17,12,70,11,86,138,103,17,26,365,13,20,9,24,13,68,2,19
2016/11/18,12,19,54,85,22,17,176,30,138,265,160,33,38,746,16,39,25,30,21,133,2,24
2016/11/19,17,22,51,88,27,21,181,35,158,263,169,25,45,714,17,35,32,27,26,130,2,39
2016/11/2,13,16,53,80,22,16,128,23,109,173,114,13,34,522,14,26,18,32,18,87,2,30
2016/11/20,4,9,39,57,14,12,78,17,103,140,111,24,19,291,9,24,25,22,15,56,1,19
2016/11/21,9,12,32,38,13,15,55,12,60,110,82,14,16,315,12,17,8,19,14,36,0,13
2016/11/22,16,19,57,91,26,16,153,25,138,238,154,27,40,713,16,33,26,25,17,129,2,35
2016/11/23,9,10,33,53,17,18,79,22,112,148,130,17,25,356,11,27,29,24,19,64,1,23
2016/11/24,7,13,45,43,17,11,76,13,83,137,101,15,20,372,16,25,7,12,18,70,2,22
2016/11/25,19,23,64,92,23,14,172,29,156,271,168,28,50,832,20,32,25,28,23,136,3,36
2016/11/26,20,19,56,94,25,22,219,34,166,293,171,35,49,823,15,36,37,33,27,146,3,31
2016/11/27,6,9,32,54,20,20,74,14,111,167,122,20,16,355,5,21,16,18,11,60,1,18
2016/11/28,7,11,35,44,16,10,67,11,66,115,87,8,16,303,12,15,11,17,12,70,0,17
2016/11/29,4,16,37,57,19,9,93,13,114,148,94,14,22,380,14,24,10,18,15,68,2,17
2016/11/3,5,14,34,50,21,17,47,17,99,124,116,16,19,279,10,23,16,20,17,40,1,23
2016/11/30,11,13,42,56,17,9,92,17,89,164,112,15,32,421,13,22,13,18,23,65,2,21
2016/11/4,7,21,57,77,24,16,122,22,110,179,141,18,33,555,13,25,16,23,17,89,2,25
2016/11/5,14,21,52,79,21,19,144,21,119,212,143,23,40,590,13,34,34,26,27,101,2,25
2016/11/6,5,9,28,43,18,17,56,11,87,112,87,19,14,234,9,18,16,14,13,43,1,20
2016/11/7,4,7,29,24,14,10,53,10,50,77,63,9,15,219,15,12,6,14,9,41,0,12
2016/11/8,4,12,31,38,12,7,40,17,63,103,81,12,20,274,12,16,7,18,12,51,1,11
2016/11/9,8,11,41,41,17,6,52,12,70,121,94,21,26,323,13,14,14,17,17,48,2,15
2016/12/1,9,14,43,44,11,6,70,15,70,118,91,11,25,348,16,21,9,18,24,60,1,25
2016/12/10,23,23,61,132,33,21,278,45,199,374,216,43,57,1110,17,48,53,34,30,215,2,47
2016/12/11,11,17,40,66,18,18,103,15,134,173,136,19,24,461,9,25,23,30,15,73,1,24
2016/12/12,14,13,39,63,17,12,94,18,77,152,102,11,33,443,12,23,11,13,12,85,1,22
2016/12/13,11,22,49,64,21,12,125,23,99,183,125,25,36,533,16,25,13,28,21,97,1,29
2016/12/14,16,20,47,82,17,11,136,32,125,239,154,22,42,687,14,36,21,27,22,131,1,35
2016/12/15,17,17,54,82,16,13,140,29,119,241,164,22,43,705,17,32,17,24,22,132,0,29
2016/12/16,26,26,67,151,31,23,305,49,219,454,232,44,71,1304,19,48,51,44,35,237,2,69
2016/12/17,27,27,63,152,34,25,298,45,218,414,232,40,61,1207,19,45,65,38,34,232,1,57
2016/12/18,14,19,39,80,21,20,120,17,152,236,141,20,28,556,11,34,36,26,22,93,1,31
2016/12/19,15,21,43,72,19,10,122,21,101,224,144,23,40,631,15,28,17,21,12,118,1,28
2016/12/2,18,22,65,103,24,17,195,36,157,284,187,25,45,900,18,38,28,28,23,167,2,38
2016/12/20,16,22,47,94,18,11,154,26,117,265,156,29,48,723,17,34,28,27,26,142,2,41
2016/12/21,21,24,59,111,23,15,179,37,148,311,196,37,50,859,16,41,29,28,25,155,1,51
2016/12/22,28,27,65,160,34,22,296,53,231,468,229,51,67,1289,19,47,55,39,42,248,1,78
2016/12/23,24,21,62,134,31,22,208,40,206,347,215,38,47,830,14,42,59,34,30,147,2,44
2016/12/24,26,26,50,162,33,29,188,41,218,361,257,38,49,707,13,48,40,30,34,132,2,39
2016/12/25,14,20,39,129,32,29,108,28,204,283,210,27,33,438,7,36,44,22,22,85,2,33
2016/12/26,12,24,57,102,28,11,183,25,155,272,161,18,41,825,14,36,34,25,27,145,1,30
2016/12/27,15,21,56,103,19,15,203,33,167,296,159,26,48,934,20,38,33,32,27,152,2,42
2016/12/28,24,24,65,136,21,10,243,34,202,340,178,35,54,1065,17,43,48,32,31,203,2,38
2016/12/29,26,22,54,131,25,21,252,43,229,356,186,35,59,1073,13,47,48,36,37,196,1,46
2016/12/3,24,21,62,104,26,23,223,41,175,315,187,39,51,897,14,37,47,29,21,177,2,35
2016/12/30,22,18,56,112,22,23,256,36,222,324,178,41,53,989,11,44,47,31,36,190,1,38
2016/12/31,7,8,17,42,10,5,111,12,108,132,69,14,21,438,5,24,26,13,19,100,0,25
2016/12/4,6,13,33,47,20,18,77,20,90,155,108,18,22,359,8,21,21,28,18,64,2,26
2016/12/5,5,15,38,45,13,7,71,14,72,101,90,12,34,322,12,26,10,20,15,45,0,11
2016/12/6,7,17,39,56,19,10,70,8,68,128,111,20,38,381,11,27,13,19,13,72,1,26
2016/12/7,6,16,55,70,19,10,96,17,94,179,125,24,33,521,18,21,16,19,17,84,3,25
2016/12/8,11,16,46,63,17,14,102,15,99,174,123,18,38,497,18,30,18,17,23,100,2,19
2016/12/9,26,27,65,139,21,16,259,41,184,373,213,32,64,1144,17,46,37,35,30,230,3,53
2016/2/1,2,3,7,16,7,5,24,7,33,50,28,6,10,131,4,6,6,8,6,29,0,11
2016/2/10,12,2,19,50,17,4,124,25,103,166,96,14,25,500,9,14,19,17,11,79,0,24
2016/2/11,2,2,10,28,13,3,51,15,60,94,58,11,12,196,6,14,13,11,9,40,0,14
2016/2/12,10,5,18,48,22,8,118,15,92,157,79,17,25,465,7,14,17,18,18,83,0,23
2016/2/13,10,4,14,64,14,10,128,24,100,167,99,14,37,474,5,18,19,13,19,76,0,24
2016/2/14,5,4,6,34,15,7,39,10,59,96,82,11,13,157,1,13,8,7,8,26,0,22
2016/2/15,6,4,10,26,10,1,53,6,46,58,45,5,13,182,6,8,7,11,9,27,0,13
2016/2/16,7,1,11,28,8,4,54,13,42,81,65,8,9,211,7,11,4,17,8,31,0,16
2016/2/17,5,1,13,26,8,5,69,12,56,95,63,8,18,233,6,8,14,9,8,43,0,14
2016/2/18,5,2,15,32,7,4,44,10,58,95,65,11,19,235,8,13,7,13,6,38,0,15
2016/2/19,4,5,16,66,8,10,113,23,108,176,99,13,26,525,6,20,15,17,12,90,0,22
2016/2/2,2,1,10,14,6,2,30,9,42,64,44,3,10,155,4,9,4,8,7,24,0,6
2016/2/20,13,4,14,61,16,7,122,24,109,155,112,25,33,498,5,24,29,14,20,86,0,28
2016/2/21,4,3,8,32,9,6,50,9,61,100,70,14,13,220,2,10,15,10,10,28,0,17
2016/2/22,4,1,8,26,10,8,38,12,55,73,45,7,13,174,5,9,5,7,9,30,0,13
2016/2/23,3,2,13,38,12,3,53,13,46,88,46,9,14,198,5,7,7,10,5,34,0,11
2016/2/24,2,2,13,43,5,5,59,10,62,101,62,11,20,229,7,9,9,12,11,52,0,21
2016/2/25,9,4,13,35,10,3,66,14,65,102,63,8,16,264,7,11,5,14,8,51,0,16
2016/2/26,9,4,18,79,11,11,148,28,115,179,110,17,40,567,8,19,13,16,20,87,0,32
2016/2/27,10,5,13,66,17,10,144,22,116,181,109,21,31,525,8,23,28,20,18,95,0,31
2016/2/28,4,3,9,37,13,7,67,13,70,99,71,16,12,221,2,10,17,10,15,41,0,9
2016/2/29,2,2,8,24,5,5,41,9,60,65,53,6,11,194,6,8,5,8,4,31,0,15
2016/2/3,4,1,13,28,5,1,31,11,31,76,56,4,15,191,7,2,11,7,4,28,0,7
2016/2/4,2,3,10,24,12,1,43,7,44,72,57,9,12,201,7,8,4,6,7,38,0,12
2016/2/5,11,3,18,63,6,3,98,16,95,152,88,14,39,488,8,19,15,18,13,85,0,23
2016/2/6,11,6,15,52,20,10,116,24,92,150,107,21,29,466,7,20,18,12,12,90,0,23
2016/2/7,4,2,7,23,11,5,52,12,60,77,59,8,14,166,1,12,10,9,5,32,0,13
2016/2/8,2,3,6,29,7,4,33,7,35,60,43,10,12,187,6,7,4,6,8,29,0,13
2016/2/9,4,0,13,22,9,2,33,10,45,74,58,6,13,207,6,10,4,10,9,28,0,16
2016/3/1,2,1,11,21,7,2,32,12,49,66,51,7,8,163,5,6,4,9,6,24,0,12
2016/3/10,3,2,15,34,11,4,61,8,59,101,70,11,23,220,10,8,6,12,7,45,0,14
2016/3/11,10,4,16,69,15,7,130,16,104,180,122,20,38,555,8,16,23,21,13,91,0,31
2016/3/12,10,3,14,58,17,9,140,30,121,195,100,19,19,551,8,18,23,19,18,84,0,24
2016/3/13,6,4,12,32,11,6,56,19,81,109,75,11,14,213,2,11,27,11,8,33,0,15
2016/3/14,6,3,13,27,9,5,49,11,48,85,58,9,17,203,5,11,8,7,7,30,0,7
2016/3/15,10,3,14,42,12,2,54,9,57,107,71,11,13,239,8,5,11,12,12,40,0,15
2016/3/16,3,4,14,40,8,6,69,19,60,117,74,8,24,302,6,10,10,12,10,38,0,19
2016/3/17,11,4,14,40,9,6,60,12,75,105,72,12,16,266,6,10,8,12,9,51,0,16
2016/3/18,13,5,18,68,18,8,151,21,114,218,113,16,36,625,8,13,27,19,13,109,0,31
2016/3/19,13,4,14,83,18,12,136,23,117,196,103,19,28,536,8,16,32,20,19,90,0,32
2016/3/2,6,3,15,25,6,1,48,8,46,82,41,5,15,196,5,10,10,8,12,34,0,14
2016/3/20,8,3,15,51,15,10,107,21,108,153,94,18,22,380,4,14,24,13,15,66,0,23
2016/3/21,7,1,11,36,10,9,54,9,73,103,67,13,9,209,2,8,12,10,12,37,0,13
2016/3/22,3,3,15,43,7,6,57,7,77,81,56,9,16,256,6,10,9,14,8,45,0,18
2016/3/23,6,0,14,50,11,3,76,18,68,138,89,11,21,342,8,12,12,11,14,68,0,27
2016/3/24,11,3,14,48,12,8,68,15,77,144,75,12,21,334,7,16,11,14,14,54,0,18
2016/3/25,13,5,20,82,16,8,165,31,136,247,122,24,35,725,8,15,27,22,15,129,0,36
2016/3/26,13,5,18,74,16,12,160,23,116,206,113,20,35,587,9,15,26,17,18,99,0,33
2016/3/27,3,5,7,39,14,5,76,8,70,121,83,16,15,245,2,17,16,12,12,42,0,17
2016/3/28,7,5,14,38,6,6,79,12,78,106,61,14,12,304,7,9,12,12,13,49,0,13
2016/3/29,9,2,14,42,12,8,67,14,86,113,79,13,20,304,7,13,14,14,12,56,0,28
2016/3/3,3,1,11,26,8,4,49,8,38,76,62,9,13,201,5,9,6,6,7,33,0,14
2016/3/30,8,3,15,54,11,6,87,19,92,142,83,14,28,400,9,13,8,10,15,70,0,17
2016/3/31,3,0,13,40,14,3,59,14,71,93,75,11,18,303,5,10,12,16,11,66,0,27
2016/3/4,11,4,17,58,17,4,119,18,114,161,112,15,26,479,6,19,14,16,12,82,0,26
2016/3/5,9,6,16,61,14,8,126,21,112,179,108,19,30,485,5,21,17,14,13,92,0,23
2016/3/6,4,0,5,32,12,10,46,17,70,85,69,12,10,172,3,12,17,10,9,27,0,12
2016/3/7,3,1,9,22,5,4,34,9,40,67,46,7,16,176,7,8,7,7,9,26,0,11
2016/3/8,2,3,11,37,9,2,61,9,48,85,57,11,11,228,4,11,2,5,11,34,0,13
2016/3/9,3,3,15,37,11,6,55,17,55,93,63,6,17,248,9,9,10,11,12,41,0,14
2016/4/1,7,2,13,56,13,6,100,16,77,149,87,12,27,470,6,12,13,16,13,76,0,26
2016/4/10,4,3,11,29,15,6,37,9,55,75,64,8,13,169,3,5,8,8,11,29,0,12
2016/4/11,4,2,8,15,5,3,31,4,35,73,44,6,10,170,4,6,2,3,6,24,0,10
2016/4/12,7,1,13,21,6,5,56,7,40,82,50,6,14,196,5,12,2,13,5,34,0,8
2016/4/13,5,3,11,41,8,3,51,10,52,88,64,8,22,256,6,7,3,9,7,51,0,13
2016/4/14,4,2,9,36,8,4,51,12,47,82,63,6,15,231,9,4,6,9,9,43,0,21
2016/4/15,11,5,16,78,12,6,148,31,121,208,119,18,35,635,8,15,23,19,16,103,0,34
2016/4/16,14,4,15,62,22,13,134,28,116,182,120,14,30,498,6,18,16,13,22,97,0,28
2016/4/17,3,1,9,34,15,4,50,9,61,95,69,11,8,188,2,11,12,12,10,33,0,11
2016/4/18,3,4,10,24,10,6,39,8,38,72,49,6,11,169,8,4,6,12,6,33,0,14
2016/4/19,5,3,12,34,11,5,41,13,42,87,63,9,14,191,5,8,8,6,8,37,0,12
2016/4/2,7,4,12,59,18,9,104,19,114,135,92,16,26,413,6,19,20,15,12,74,0,13
2016/4/20,6,2,14,36,10,4,55,12,57,93,66,12,14,287,7,11,10,13,14,49,0,18
2016/4/21,3,0,13,38,8,4,60,8,51,85,69,12,19,225,8,6,7,12,9,42,0,22
2016/4/22,15,3,17,79,15,6,145,23,118,197,120,17,34,638,8,18,17,18,13,121,0,42
2016/4/23,10,4,16,72,18,7,153,20,120,202,119,17,32,509,10,17,25,20,21,101,0,27
2016/4/24,5,2,10,33,12,4,55,13,76,91,72,8,9,190,3,11,17,14,9,40,0,11
2016/4/25,6,5,10,32,11,4,45,7,46,72,54,10,15,227,6,9,9,9,10,34,0,14
2016/4/26,6,2,15,40,13,6,50,10,57,97,87,9,15,274,6,11,7,7,12,53,0,14
2016/4/27,7,3,15,48,7,3,76,11,70,104,79,14,22,323,6,12,7,13,11,53,0,19
2016/4/28,9,5,16,79,18,10,146,25,85,209,117,10,29,562,8,15,16,19,18,106,0,25
2016/4/29,8,4,13,56,16,7,117,19,122,168,107,13,19,429,6,17,21,17,19,74,0,24
2016/4/3,2,0,6,31,10,9,42,10,63,72,64,10,12,178,2,6,17,5,8,26,0,12
2016/4/30,14,4,14,66,16,9,133,22,121,182,109,13,26,497,8,22,19,22,14,91,0,28
2016/4/4,2,2,9,26,7,5,44,6,45,57,40,3,7,172,5,6,4,7,7,27,0,7
2016/4/5,8,2,13,23,9,5,35,8,45,71,44,7,13,208,4,7,7,6,9,46,0,10
2016/4/6,7,2,10,29,6,3,43,7,48,81,64,4,13,231,7,15,2,9,6,40,0,13
2016/4/7,3,2,10,21,8,1,46,11,62,81,56,9,16,204,7,8,1,10,6,41,0,12
2016/4/8,12,3,13,74,14,5,114,16,90,169,97,15,36,523,8,13,17,20,18,97,0,32
2016/4/9,10,5,16,70,15,11,112,19,108,155,98,19,23,458,7,13,16,14,13,87,0,20
2016/5/1,8,2,8,38,16,8,60,9,83,125,81,11,14,260,3,11,12,12,20,50,0,17
2016/5/10,5,0,9,32,10,5,37,13,43,72,49,4,9,169,3,5,9,11,6,30,0,9
2016/5/11,2,0,8,43,9,5,44,9,42,83,61,11,14,200,4,8,8,10,7,30,0,13
2016/5/12,5,4,10,32,6,2,56,11,45,83,50,11,14,201,5,3,5,10,10,21,0,12
2016/5/13,7,2,11,73,6,8,122,20,92,167,100,13,24,532,4,10,19,10,13,101,0,23
2016/5/14,10,3,8,63,18,12,123,23,112,169,111,15,20,481,5,15,22,15,16,84,0,28
2016/5/15,3,2,5,34,10,7,45,10,66,84,69,14,9,180,1,5,13,9,10,34,0,18
2016/5/16,2,0,2,18,10,2,41,9,35,61,44,12,15,159,3,1,4,13,8,25,0,15
2016/5/17,5,2,7,33,10,2,38,9,60,85,62,8,11,190,1,3,5,13,10,32,0,11
2016/5/18,6,1,7,36,8,4,51,13,59,103,58,9,12,245,2,7,11,13,10,47,0,14
2016/5/19,6,2,9,37,10,3,65,10,67,96,69,9,12,246,4,12,7,14,7,41,0,17
2016/5/2,8,3,12,50,12,8,97,17,76,121,81,11,17,358,8,16,15,13,20,71,0,18
2016/5/20,11,4,8,80,9,11,130,24,112,214,107,19,21,538,2,11,18,17,19,94,0,31
2016/5/21,12,4,10,60,18,10,147,22,116,199,118,22,34,495,3,17,22,15,17,88,0,30
2016/5/22,4,1,6,36,12,8,44,11,72,94,62,9,13,192,1,1,12,9,15,22,0,15
2016/5/23,2,4,4,25,7,4,40,7,50,66,49,4,17,180,2,5,2,6,2,33,0,10
2016/5/24,2,3,7,26,6,5,44,11,40,87,49,8,13,177,2,11,5,5,8,38,0,9
2016/5/25,7,2,7,42,8,5,65,12,62,119,67,14,15,275,3,5,6,8,12,42,0,23
2016/5/26,3,1,9,37,13,5,54,18,56,106,61,9,13,273,3,5,10,10,6,43,0,20
2016/5/27,7,2,8,70,17,6,148,23,126,191,111,13,26,584,4,19,23,17,15,101,0,32
2016/5/28,10,4,7,73,19,10,146,24,122,185,104,12,36,523,3,15,29,15,22,97,0,20
2016/5/29,6,1,3,37,14,6,55,10,83,101,74,11,11,227,2,8,10,12,16,35,0,16
2016/5/3,12,4,9,56,17,11,121,23,113,162,99,13,22,409,6,15,21,18,19,75,0,21
2016/5/30,2,1,4,25,6,2,48,9,41,73,42,8,10,187,2,6,4,7,7,33,0,13
2016/5/31,6,1,5,38,8,6,46,6,52,73,62,9,14,213,2,8,10,11,4,36,0,8
2016/5/4,9,4,11,42,18,10,103,18,109,147,86,16,14,397,2,17,22,13,21,65,0,17
2016/5/5,3,1,7,40,13,8,60,13,72,100,71,11,16,207,2,5,11,10,16,36,0,12
2016/5/6,9,3,16,49,11,6,79,13,83,131,88,12,15,349,6,14,11,13,8,71,0,15
2016/5/7,11,3,17,60,17,6,108,21,98,145,90,10,16,402,5,9,18,19,12,81,0,22
2016/5/8,5,1,8,31,14,6,38,11,65,79,63,13,10,167,3,8,7,11,9,28,0,16
2016/5/9,2,2,7,27,5,4,46,7,39,51,47,3,10,140,3,5,3,8,6,22,0,5
2016/6/1,3,1,5,30,6,1,52,11,47,96,43,5,12,185,2,6,4,6,4,40,0,8
2016/6/10,10,1,5,77,15,8,131,29,120,215,111,13,23,536,2,12,18,19,15,94,0,28
2016/6/11,10,2,4,77,17,5,154,28,128,218,105,14,29,533,2,12,16,20,19,91,0,29
2016/6/12,3,1,2,33,14,9,56,9,76,101,70,12,5,186,1,8,11,10,8,33,0,17
2016/6/13,3,1,2,31,7,7,34,4,43,70,45,3,7,149,3,8,6,8,5,31,0,14
2016/6/14,3,1,3,35,8,4,35,8,54,74,57,10,11,190,0,11,5,10,5,30,0,12
2016/6/15,5,0,3,46,7,1,60,11,60,98,49,12,20,286,3,7,7,9,10,39,0,16
2016/6/16,8,2,5,50,10,3,63,13,57,118,59,10,15,254,3,5,5,12,8,55,0,16
2016/6/17,11,3,5,81,11,7,137,25,125,191,122,15,32,613,3,21,21,22,19,90,0,35
2016/6/18,12,1,4,79,19,11,154,28,132,215,113,22,27,516,3,23,33,11,17,107,0,23
2016/6/19,4,2,3,45,16,7,67,15,86,103,73,17,9,200,0,10,17,10,11,52,0,21
2016/6/2,5,1,5,23,7,3,49,6,40,62,42,6,9,187,3,3,5,6,9,37,0,11
2016/6/20,5,1,1,27,5,3,35,10,41,84,37,4,6,167,2,5,5,6,4,34,0,11
2016/6/21,4,0,5,27,12,4,50,13,45,79,63,7,15,210,1,6,6,7,3,44,0,13
2016/6/22,3,1,3,50,7,3,70,16,69,120,69,8,13,246,2,7,10,11,6,51,0,18
2016/6/23,4,1,3,44,7,2,54,17,65,91,62,4,18,262,2,12,11,10,7,60,0,19
2016/6/24,8,1,4,86,15,8,165,31,121,263,131,21,34,668,2,21,15,18,19,103,0,34
2016/6/25,12,3,3,77,21,10,158,29,132,229,129,19,24,612,3,23,28,14,19,102,0,26
2016/6/26,4,0,4,42,10,9,65,14,102,120,69,11,10,246,1,10,13,11,13,33,0,19
2016/6/27,4,1,1,32,10,3,41,5,45,84,50,7,15,229,1,8,6,5,8,44,0,15
2016/6/28,6,1,2,39,3,5,43,17,57,107,71,4,4,235,2,8,11,8,5,39,0,14
2016/6/29,5,2,3,39,12,5,76,20,70,115,71,15,13,286,3,2,6,12,11,62,0,18
2016/6/3,12,1,5,73,13,4,117,20,100,175,93,8,21,476,3,14,18,13,17,87,0,30
2016/6/30,3,1,3,42,11,6,72,12,78,108,70,6,17,262,3,8,7,9,9,39,0,19
