,visit_date,Fukuoka-ken_visitors,Hiroshima-ken_visitors,Hokkaid身_visitors,Hy身go-ken_visitors,Kanagawa-ken_visitors,Miyagi-ken_visitors,Niigata-ken_visitors,None_visitors,Osaka_visitors,Saitama-ken_visitors,Shizuoka-ken_visitors,T身ky身-to_visitors,?saka-fu_visitors
68,2016-03-09,521.0,343.0,270.0,481.0,31.0,157.0,183.0,123.0,175.0,11.0,232.0,1980,468.0
69,2016-03-10,438.0,257.0,269.0,414.0,54.0,264.0,117.0,93.0,148.0,18.0,177.0,2016,499.0
70,2016-03-11,1143.0,749.0,1025.0,951.0,78.0,435.0,504.0,328.0,362.0,2.0,959.0,5463,1640.0
71,2016-03-12,1527.0,875.0,986.0,992.0,153.0,607.0,524.0,243.0,305.0,82.0,1112.0,4111,1641.0
72,2016-03-13,426.0,295.0,211.0,539.0,60.0,174.0,141.0,101.0,156.0,8.0,329.0,2178,608.0
73,2016-03-14,440.0,202.0,205.0,210.0,72.0,184.0,161.0,100.0,94.0,26.0,230.0,1727,524.0
74,2016-03-15,518.0,233.0,375.0,287.0,94.0,207.0,118.0,163.0,137.0,9.0,259.0,2345,637.0
75,2016-03-16,589.0,285.0,327.0,428.0,48.0,351.0,152.0,199.0,214.0,10.0,361.0,2740,768.0
76,2016-03-17,641.0,358.0,430.0,451.0,32.0,233.0,149.0,92.0,170.0,13.0,399.0,2937,536.0
77,2016-03-18,1984.0,995.0,1386.0,1308.0,107.0,838.0,485.0,379.0,436.0,18.0,1124.0,7608,1686.0
78,2016-03-19,1701.0,919.0,1082.0,1101.0,93.0,677.0,597.0,222.0,520.0,117.0,979.0,5505,1540.0
79,2016-03-20,860.0,653.0,800.0,771.0,67.0,323.0,306.0,196.0,276.0,44.0,483.0,3954,1113.0
80,2016-03-21,626.0,241.0,264.0,404.0,33.0,148.0,208.0,19.0,218.0,11.0,341.0,2341,511.0
81,2016-03-22,643.0,465.0,341.0,523.0,14.0,270.0,165.0,158.0,153.0,18.0,405.0,2652,704.0
82,2016-03-23,758.0,433.0,404.0,540.0,42.0,424.0,220.0,205.0,249.0,34.0,429.0,4456,1106.0
83,2016-03-24,751.0,514.0,633.0,605.0,129.0,357.0,204.0,203.0,238.0,,381.0,4275,1452.0
84,2016-03-25,2425.0,1236.0,1563.0,1798.0,203.0,1227.0,652.0,569.0,635.0,23.0,1653.0,11689,2286.0
85,2016-03-26,1638.0,1023.0,1329.0,1301.0,117.0,683.0,523.0,341.0,388.0,50.0,1025.0,5343,1728.0
86,2016-03-27,556.0,362.0,303.0,526.0,45.0,260.0,84.0,157.0,251.0,28.0,361.0,2924,686.0
87,2016-03-28,534.0,331.0,419.0,558.0,127.0,232.0,287.0,170.0,184.0,21.0,414.0,3442,814.0
88,2016-03-29,808.0,337.0,370.0,447.0,82.0,222.0,189.0,230.0,186.0,34.0,405.0,3708,927.0
89,2016-03-30,948.0,486.0,437.0,745.0,109.0,256.0,220.0,263.0,246.0,36.0,445.0,5376,1135.0
90,2016-03-31,593.0,367.0,326.0,529.0,65.0,216.0,103.0,202.0,174.0,20.0,288.0,3932,588.0
91,2016-04-01,950.0,514.0,627.0,734.0,103.0,377.0,324.0,497.0,216.0,2.0,640.0,5292,1005.0
92,2016-04-02,822.0,640.0,583.0,701.0,72.0,279.0,482.0,111.0,205.0,26.0,697.0,3081,978.0
93,2016-04-03,225.0,280.0,103.0,375.0,45.0,66.0,51.0,58.0,129.0,4.0,218.0,1583,398.0
94,2016-04-04,362.0,220.0,202.0,284.0,8.0,78.0,128.0,103.0,68.0,,124.0,1602,361.0
95,2016-04-05,383.0,277.0,276.0,224.0,78.0,142.0,160.0,128.0,59.0,,124.0,1998,630.0
96,2016-04-06,358.0,348.0,219.0,325.0,31.0,101.0,154.0,134.0,99.0,15.0,305.0,2436,467.0
97,2016-04-07,379.0,200.0,130.0,245.0,105.0,215.0,100.0,103.0,66.0,10.0,129.0,2325,575.0
98,2016-04-08,1295.0,806.0,977.0,1149.0,109.0,338.0,436.0,308.0,230.0,19.0,1003.0,6361,1375.0
99,2016-04-09,979.0,542.0,735.0,732.0,83.0,381.0,495.0,299.0,294.0,86.0,795.0,3374,856.0
100,2016-04-10,297.0,193.0,114.0,276.0,5.0,131.0,114.0,83.0,100.0,18.0,165.0,1546,321.0
101,2016-04-11,232.0,194.0,207.0,265.0,14.0,153.0,104.0,108.0,49.0,58.0,82.0,1460,303.0
102,2016-04-12,368.0,210.0,256.0,143.0,5.0,105.0,110.0,86.0,50.0,4.0,187.0,2197,431.0
103,2016-04-13,432.0,292.0,242.0,372.0,97.0,155.0,274.0,139.0,158.0,12.0,236.0,2401,639.0
104,2016-04-14,397.0,210.0,355.0,352.0,48.0,76.0,130.0,91.0,147.0,27.0,164.0,2499,472.0
105,2016-04-15,1345.0,938.0,985.0,1360.0,213.0,479.0,658.0,335.0,417.0,41.0,1053.0,8126,2230.0
106,2016-04-16,1316.0,643.0,953.0,852.0,144.0,511.0,482.0,170.0,279.0,89.0,935.0,4349,1099.0
107,2016-04-17,258.0,165.0,223.0,353.0,21.0,96.0,105.0,60.0,186.0,37.0,224.0,1790,400.0
108,2016-04-18,286.0,117.0,219.0,316.0,33.0,59.0,88.0,23.0,111.0,5.0,128.0,1912,355.0
109,2016-04-19,241.0,184.0,196.0,273.0,51.0,146.0,164.0,131.0,121.0,15.0,212.0,2482,446.0
110,2016-04-20,566.0,270.0,278.0,484.0,86.0,284.0,121.0,158.0,146.0,9.0,197.0,3459,647.0
111,2016-04-21,398.0,321.0,236.0,307.0,41.0,190.0,84.0,152.0,117.0,4.0,235.0,2753,582.0
112,2016-04-22,1273.0,906.0,1331.0,1467.0,259.0,635.0,521.0,332.0,247.0,86.0,1053.0,7985,1696.0
113,2016-04-23,1044.0,962.0,762.0,992.0,223.0,467.0,527.0,191.0,254.0,28.0,809.0,4999,1044.0
114,2016-04-24,316.0,251.0,210.0,391.0,43.0,116.0,91.0,80.0,109.0,8.0,203.0,1665,510.0
115,2016-04-25,395.0,275.0,310.0,248.0,14.0,117.0,116.0,103.0,133.0,,159.0,2388,532.0
116,2016-04-26,396.0,302.0,377.0,340.0,63.0,291.0,195.0,130.0,121.0,17.0,279.0,2947,564.0
117,2016-04-27,490.0,381.0,334.0,407.0,102.0,286.0,154.0,180.0,116.0,10.0,274.0,3923,782.0
118,2016-04-28,1072.0,913.0,1103.0,1227.0,117.0,372.0,406.0,325.0,368.0,24.0,989.0,6150,1484.0
119,2016-04-29,867.0,607.0,660.0,686.0,149.0,209.0,404.0,115.0,312.0,12.0,515.0,3433,800.0
120,2016-04-30,914.0,915.0,691.0,914.0,43.0,401.0,446.0,168.0,272.0,24.0,798.0,3611,1033.0
121,2016-05-01,442.0,285.0,332.0,430.0,56.0,128.0,217.0,108.0,201.0,15.0,279.0,1796,532.0
122,2016-05-02,583.0,440.0,345.0,652.0,32.0,289.0,294.0,114.0,157.0,2.0,292.0,1997,674.0
123,2016-05-03,952.0,532.0,655.0,833.0,54.0,280.0,468.0,129.0,204.0,12.0,640.0,2547,879.0
124,2016-05-04,605.0,459.0,626.0,662.0,45.0,323.0,343.0,143.0,262.0,10.0,501.0,2165,770.0
125,2016-05-05,345.0,217.0,236.0,483.0,8.0,105.0,111.0,67.0,137.0,9.0,210.0,1457,321.0
126,2016-05-06,594.0,302.0,356.0,522.0,73.0,158.0,233.0,158.0,189.0,23.0,423.0,2386,773.0
127,2016-05-07,697.0,595.0,561.0,531.0,37.0,238.0,308.0,170.0,165.0,34.0,664.0,2969,748.0
128,2016-05-08,301.0,145.0,160.0,436.0,35.0,198.0,99.0,33.0,133.0,11.0,216.0,1397,387.0
129,2016-05-09,294.0,126.0,231.0,192.0,3.0,157.0,99.0,94.0,73.0,7.0,95.0,1265,269.0
130,2016-05-10,300.0,153.0,124.0,210.0,26.0,112.0,41.0,64.0,104.0,,163.0,1535,295.0
131,2016-05-11,286.0,216.0,207.0,330.0,61.0,74.0,96.0,81.0,91.0,28.0,131.0,2042,406.0
132,2016-05-12,425.0,218.0,268.0,294.0,112.0,190.0,142.0,89.0,59.0,,146.0,2037,317.0
133,2016-05-13,888.0,732.0,731.0,965.0,145.0,257.0,454.0,342.0,188.0,39.0,772.0,5246,1294.0
134,2016-05-14,1037.0,792.0,686.0,899.0,35.0,373.0,344.0,210.0,240.0,79.0,828.0,4029,1086.0
135,2016-05-15,269.0,216.0,261.0,403.0,65.0,119.0,99.0,77.0,121.0,12.0,130.0,1818,363.0
136,2016-05-16,323.0,63.0,200.0,207.0,19.0,120.0,91.0,38.0,70.0,,129.0,1314,364.0
137,2016-05-17,277.0,131.0,148.0,187.0,5.0,95.0,113.0,74.0,71.0,28.0,176.0,1859,361.0
138,2016-05-18,461.0,216.0,229.0,298.0,53.0,96.0,108.0,143.0,124.0,18.0,150.0,2443,367.0
139,2016-05-19,430.0,168.0,317.0,360.0,35.0,221.0,192.0,149.0,115.0,11.0,272.0,2457,483.0
140,2016-05-20,966.0,590.0,803.0,1031.0,145.0,323.0,426.0,159.0,363.0,65.0,810.0,5789,1197.0
141,2016-05-21,1177.0,865.0,733.0,994.0,67.0,424.0,562.0,190.0,222.0,29.0,704.0,3993,1182.0
142,2016-05-22,391.0,175.0,154.0,412.0,90.0,98.0,116.0,96.0,158.0,20.0,162.0,2059,384.0
143,2016-05-23,244.0,226.0,171.0,171.0,34.0,88.0,105.0,118.0,94.0,4.0,94.0,1449,375.0
144,2016-05-24,354.0,161.0,204.0,218.0,17.0,99.0,112.0,77.0,118.0,4.0,184.0,1528,302.0
145,2016-05-25,490.0,226.0,282.0,426.0,61.0,97.0,155.0,195.0,148.0,9.0,202.0,2931,561.0
146,2016-05-26,380.0,209.0,142.0,295.0,54.0,175.0,86.0,205.0,144.0,8.0,183.0,2890,480.0
147,2016-05-27,966.0,699.0,747.0,1194.0,201.0,487.0,427.0,262.0,347.0,34.0,916.0,6585,1365.0
148,2016-05-28,1001.0,896.0,805.0,831.0,170.0,479.0,501.0,193.0,363.0,104.0,836.0,4523,1117.0
149,2016-05-29,353.0,246.0,148.0,442.0,101.0,104.0,108.0,62.0,136.0,5.0,214.0,2232,488.0
150,2016-05-30,369.0,196.0,216.0,170.0,58.0,83.0,48.0,97.0,108.0,,173.0,1695,470.0
151,2016-05-31,285.0,208.0,210.0,311.0,68.0,77.0,87.0,139.0,107.0,16.0,202.0,1974,297.0
152,2016-06-01,277.0,222.0,203.0,204.0,16.0,82.0,99.0,70.0,66.0,7.0,159.0,1663,407.0
153,2016-06-02,352.0,235.0,155.0,200.0,4.0,50.0,67.0,50.0,107.0,6.0,96.0,1364,628.0
154,2016-06-03,784.0,498.0,499.0,603.0,119.0,376.0,305.0,239.0,306.0,16.0,747.0,4450,1119.0
155,2016-06-04,1010.0,767.0,555.0,807.0,43.0,284.0,361.0,155.0,388.0,15.0,673.0,3547,1072.0
156,2016-06-05,364.0,188.0,137.0,384.0,28.0,47.0,111.0,84.0,114.0,11.0,128.0,1777,510.0
157,2016-06-06,216.0,125.0,196.0,194.0,28.0,56.0,106.0,85.0,77.0,,95.0,1171,208.0
158,2016-06-07,356.0,175.0,179.0,288.0,26.0,125.0,70.0,45.0,88.0,8.0,168.0,1365,321.0
159,2016-06-08,372.0,147.0,249.0,373.0,13.0,105.0,174.0,57.0,73.0,16.0,140.0,1972,526.0
160,2016-06-09,218.0,189.0,207.0,262.0,28.0,94.0,83.0,137.0,65.0,12.0,135.0,1994,462.0
161,2016-06-10,1235.0,629.0,559.0,942.0,95.0,287.0,371.0,308.0,432.0,26.0,691.0,5808,1265.0
162,2016-06-11,1166.0,752.0,811.0,874.0,118.0,329.0,507.0,250.0,394.0,39.0,745.0,4007,1135.0
163,2016-06-12,313.0,207.0,186.0,412.0,14.0,97.0,85.0,78.0,143.0,2.0,282.0,1951,388.0
164,2016-06-13,376.0,170.0,166.0,126.0,55.0,45.0,91.0,111.0,64.0,6.0,115.0,1282,223.0
165,2016-06-14,286.0,114.0,193.0,273.0,66.0,82.0,85.0,24.0,79.0,5.0,122.0,1608,396.0
166,2016-06-15,383.0,169.0,210.0,345.0,38.0,127.0,134.0,180.0,161.0,,179.0,2230,530.0
167,2016-06-16,399.0,176.0,261.0,361.0,32.0,157.0,137.0,144.0,234.0,5.0,142.0,2337,604.0
168,2016-06-17,1142.0,633.0,934.0,830.0,169.0,340.0,423.0,242.0,278.0,20.0,793.0,6208,1314.0
169,2016-06-18,1154.0,858.0,951.0,822.0,91.0,384.0,588.0,170.0,435.0,19.0,832.0,4398,1210.0
170,2016-06-19,345.0,319.0,299.0,409.0,35.0,90.0,107.0,98.0,181.0,13.0,134.0,2279,599.0
171,2016-06-20,175.0,149.0,201.0,153.0,32.0,103.0,47.0,88.0,47.0,2.0,196.0,1473,360.0
172,2016-06-21,321.0,204.0,142.0,405.0,51.0,62.0,50.0,110.0,100.0,5.0,160.0,2065,381.0
173,2016-06-22,472.0,188.0,289.0,389.0,167.0,243.0,128.0,129.0,129.0,21.0,212.0,2499,528.0
174,2016-06-23,289.0,348.0,301.0,317.0,47.0,128.0,194.0,130.0,123.0,17.0,98.0,3345,480.0
175,2016-06-24,1483.0,799.0,968.0,1268.0,221.0,454.0,652.0,408.0,424.0,69.0,905.0,8025,2140.0
176,2016-06-25,1408.0,903.0,909.0,886.0,118.0,556.0,709.0,325.0,408.0,65.0,1038.0,4804,1787.0
177,2016-06-26,361.0,329.0,194.0,440.0,68.0,152.0,146.0,121.0,162.0,30.0,270.0,2331,558.0
178,2016-06-27,363.0,248.0,175.0,290.0,6.0,122.0,129.0,60.0,141.0,6.0,170.0,1997,541.0
179,2016-06-28,394.0,155.0,218.0,279.0,103.0,82.0,92.0,123.0,127.0,4.0,228.0,2503,528.0
180,2016-06-29,407.0,334.0,191.0,523.0,73.0,130.0,180.0,174.0,240.0,,255.0,3445,762.0
181,2016-06-30,301.0,223.0,284.0,347.0,83.0,102.0,110.0,156.0,164.0,7.0,166.0,3048,732.0
182,2016-07-01,984.0,563.0,900.0,1000.0,85.0,251.0,314.0,293.0,321.0,21.0,644.0,4986,1118.0
183,2016-07-02,1101.0,699.0,583.0,750.0,66.0,289.0,443.0,226.0,250.0,96.0,808.0,3858,1201.0
184,2016-07-03,219.0,271.0,176.0,280.0,74.0,82.0,99.0,21.0,145.0,4.0,135.0,1794,310.0
185,2016-07-04,261.0,214.0,146.0,178.0,39.0,60.0,61.0,41.0,74.0,6.0,112.0,1280,387.0
186,2016-07-05,274.0,166.0,138.0,172.0,68.0,130.0,89.0,107.0,112.0,2.0,167.0,1809,318.0
187,2016-07-06,423.0,186.0,248.0,268.0,64.0,176.0,182.0,111.0,116.0,2.0,183.0,2339,403.0
188,2016-07-07,328.0,150.0,270.0,296.0,54.0,98.0,112.0,105.0,92.0,,176.0,2073,362.0
189,2016-07-08,1150.0,686.0,660.0,986.0,89.0,335.0,376.0,293.0,437.0,26.0,723.0,6145,1170.0
190,2016-07-09,1056.0,759.0,842.0,909.0,62.0,625.0,523.0,383.0,324.0,126.0,863.0,4220,1007.0
191,2016-07-10,323.0,188.0,214.0,373.0,43.0,180.0,92.0,75.0,125.0,14.0,118.0,1600,434.0
192,2016-07-11,208.0,122.0,172.0,282.0,20.0,106.0,73.0,83.0,76.0,23.0,132.0,1609,408.0
193,2016-07-12,260.0,217.0,207.0,264.0,20.0,69.0,155.0,110.0,60.0,12.0,140.0,1710,387.0
194,2016-07-13,532.0,195.0,261.0,398.0,40.0,197.0,104.0,153.0,175.0,62.0,151.0,2704,658.0
195,2016-07-14,417.0,234.0,206.0,256.0,59.0,146.0,100.0,131.0,111.0,,209.0,2810,497.0
196,2016-07-15,1020.0,897.0,752.0,960.0,143.0,359.0,518.0,294.0,312.0,32.0,621.0,6620,1280.0
197,2016-07-16,1098.0,847.0,800.0,988.0,118.0,472.0,541.0,208.0,297.0,119.0,788.0,4323,1047.0
198,2016-07-17,867.0,482.0,396.0,621.0,118.0,221.0,283.0,206.0,221.0,57.0,393.0,2970,735.0
199,2016-07-18,375.0,243.0,200.0,361.0,24.0,93.0,114.0,48.0,148.0,7.0,107.0,1388,314.0
200,2016-07-19,397.0,158.0,172.0,310.0,56.0,113.0,151.0,211.0,94.0,4.0,144.0,1705,413.0
201,2016-07-20,467.0,221.0,236.0,321.0,55.0,193.0,153.0,219.0,98.0,54.0,213.0,2700,660.0
202,2016-07-21,546.0,263.0,429.0,351.0,42.0,189.0,133.0,241.0,211.0,5.0,175.0,2577,491.0
203,2016-07-22,1327.0,842.0,624.0,939.0,95.0,422.0,425.0,499.0,624.0,34.0,994.0,6804,1303.0
204,2016-07-23,1075.0,618.0,742.0,728.0,171.0,340.0,564.0,380.0,359.0,27.0,747.0,4070,1188.0
205,2016-07-24,400.0,262.0,173.0,291.0,38.0,117.0,128.0,45.0,138.0,63.0,167.0,2099,435.0
206,2016-07-25,343.0,178.0,239.0,170.0,35.0,103.0,105.0,143.0,109.0,45.0,173.0,1951,413.0
207,2016-07-26,437.0,227.0,226.0,256.0,58.0,202.0,88.0,256.0,73.0,2.0,212.0,2340,470.0
208,2016-07-27,596.0,353.0,279.0,420.0,114.0,130.0,125.0,133.0,206.0,26.0,122.0,2577,591.0
209,2016-07-28,583.0,270.0,232.0,405.0,58.0,163.0,105.0,202.0,180.0,29.0,236.0,3055,526.0
210,2016-07-29,1421.0,813.0,611.0,1004.0,147.0,521.0,442.0,382.0,433.0,27.0,1187.0,8015,1566.0
211,2016-07-30,927.0,736.0,784.0,878.0,54.0,447.0,487.0,203.0,380.0,37.0,847.0,3929,1400.0
212,2016-07-31,339.0,232.0,280.0,337.0,49.0,112.0,198.0,69.0,205.0,31.0,165.0,1913,507.0
213,2016-08-01,213.0,162.0,187.0,228.0,10.0,47.0,60.0,26.0,43.0,,121.0,1636,229.0
214,2016-08-02,298.0,145.0,158.0,215.0,11.0,137.0,120.0,91.0,145.0,12.0,149.0,1682,397.0
215,2016-08-03,507.0,247.0,323.0,399.0,20.0,102.0,149.0,149.0,189.0,20.0,187.0,2563,482.0
216,2016-08-04,447.0,241.0,249.0,396.0,61.0,204.0,116.0,221.0,161.0,6.0,210.0,2357,543.0
217,2016-08-05,873.0,787.0,509.0,978.0,133.0,331.0,438.0,333.0,405.0,23.0,872.0,5468,1556.0
218,2016-08-06,1012.0,621.0,663.0,702.0,45.0,422.0,356.0,264.0,320.0,34.0,640.0,3103,763.0
219,2016-08-07,287.0,312.0,190.0,375.0,5.0,98.0,88.0,74.0,172.0,18.0,84.0,1498,390.0
220,2016-08-08,363.0,344.0,189.0,247.0,20.0,113.0,148.0,86.0,101.0,,216.0,1680,520.0
221,2016-08-09,398.0,280.0,368.0,304.0,27.0,195.0,94.0,129.0,143.0,11.0,230.0,2475,413.0
222,2016-08-10,1162.0,662.0,639.0,867.0,113.0,372.0,508.0,227.0,321.0,9.0,520.0,4157,1461.0
223,2016-08-11,832.0,450.0,395.0,621.0,62.0,267.0,334.0,61.0,215.0,19.0,351.0,2086,613.0
224,2016-08-12,801.0,735.0,587.0,701.0,71.0,366.0,506.0,153.0,313.0,11.0,667.0,2849,921.0
225,2016-08-13,774.0,705.0,475.0,883.0,61.0,361.0,323.0,150.0,299.0,23.0,642.0,2678,1050.0
226,2016-08-14,602.0,482.0,375.0,571.0,66.0,220.0,503.0,104.0,269.0,,385.0,1954,964.0
