,visit_datetime,A,B,C,D,E,F,G,H,I
100,2016-04-10,1626,682,112.0,288.0,186.0,131.0,114.0,149.0,16.0
101,2016-04-11,1591,609,132.0,248.0,188.0,153.0,104.0,80.0,73.0
102,2016-04-12,2231,614,187.0,401.0,208.0,105.0,110.0,187.0,69.0
103,2016-04-13,2624,1161,186.0,421.0,290.0,155.0,274.0,232.0,60.0
104,2016-04-14,2570,955,286.0,406.0,204.0,76.0,130.0,148.0,72.0
105,2016-04-15,8567,3983,694.0,1358.0,882.0,477.0,663.0,1041.0,296.0
106,2016-04-16,4665,2199,648.0,1336.0,616.0,511.0,482.0,913.0,318.0
107,2016-04-17,1877,933,196.0,252.0,163.0,96.0,105.0,198.0,40.0
108,2016-04-18,1953,755,157.0,284.0,111.0,59.0,88.0,125.0,52.0
109,2016-04-19,2657,838,151.0,248.0,184.0,146.0,164.0,208.0,48.0
110,2016-04-20,3666,1264,236.0,585.0,264.0,284.0,119.0,191.0,29.0
111,2016-04-21,2814,1000,203.0,459.0,296.0,190.0,79.0,229.0,30.0
112,2016-04-22,8453,3368,875.0,1298.0,882.0,633.0,524.0,1036.0,431.0
113,2016-04-23,5312,2266,527.0,1078.0,956.0,464.0,539.0,776.0,245.0
114,2016-04-24,1791,987,179.0,281.0,249.0,116.0,91.0,201.0,34.0
115,2016-04-25,2449,902,216.0,423.0,275.0,117.0,121.0,157.0,92.0
116,2016-04-26,3105,1023,235.0,424.0,291.0,291.0,195.0,275.0,138.0
117,2016-04-27,4111,1277,253.0,524.0,374.0,286.0,160.0,268.0,93.0
118,2016-04-28,6457,3067,834.0,1138.0,887.0,370.0,404.0,976.0,270.0
119,2016-04-29,3665,1765,508.0,868.0,602.0,207.0,402.0,496.0,146.0
120,2016-04-30,3780,2190,487.0,916.0,889.0,401.0,446.0,773.0,207.0
121,2016-05-01,1932,1142,216.0,439.0,276.0,128.0,217.0,272.0,126.0
122,2016-05-02,2087,1468,302.0,592.0,416.0,289.0,299.0,288.0,57.0
123,2016-05-03,2653,1882,471.0,991.0,508.0,280.0,471.0,618.0,175.0
124,2016-05-04,2269,1681,517.0,646.0,423.0,319.0,375.0,482.0,116.0
125,2016-05-05,1516,912,189.0,344.0,210.0,105.0,111.0,210.0,45.0
126,2016-05-06,2590,1476,267.0,586.0,290.0,158.0,233.0,411.0,92.0
127,2016-05-07,3104,1426,417.0,732.0,572.0,238.0,309.0,634.0,159.0
128,2016-05-08,1466,948,129.0,293.0,145.0,198.0,99.0,202.0,31.0
129,2016-05-09,1329,517,217.0,295.0,126.0,157.0,99.0,95.0,16.0
130,2016-05-10,1598,605,120.0,303.0,146.0,112.0,44.0,163.0,4.0
131,2016-05-11,2143,820,186.0,310.0,208.0,74.0,98.0,126.0,25.0
132,2016-05-12,2186,650,207.0,419.0,203.0,190.0,142.0,136.0,65.0
133,2016-05-13,5560,2426,579.0,938.0,728.0,257.0,452.0,757.0,140.0
134,2016-05-14,4183,2203,489.0,1087.0,764.0,373.0,347.0,820.0,195.0
135,2016-05-15,1958,872,227.0,256.0,216.0,119.0,100.0,125.0,41.0
136,2016-05-16,1347,609,116.0,326.0,63.0,120.0,90.0,127.0,91.0
137,2016-05-17,1945,613,117.0,281.0,120.0,95.0,108.0,168.0,31.0
138,2016-05-18,2606,783,193.0,482.0,214.0,96.0,108.0,144.0,44.0
139,2016-05-19,2575,951,177.0,455.0,164.0,221.0,192.0,262.0,134.0
140,2016-05-20,5971,2521,634.0,960.0,584.0,323.0,426.0,798.0,159.0
141,2016-05-21,4218,2369,619.0,1156.0,848.0,422.0,562.0,681.0,116.0
142,2016-05-22,2212,916,140.0,382.0,175.0,98.0,141.0,158.0,23.0
143,2016-05-23,1580,636,154.0,229.0,224.0,88.0,99.0,88.0,17.0
144,2016-05-24,1596,627,114.0,355.0,156.0,99.0,122.0,182.0,82.0
145,2016-05-25,3112,1135,267.0,503.0,226.0,97.0,159.0,202.0,28.0
146,2016-05-26,3078,913,108.0,409.0,194.0,175.0,90.0,178.0,45.0
147,2016-05-27,6966,2879,662.0,985.0,679.0,487.0,435.0,906.0,74.0
148,2016-05-28,4918,2265,572.0,1009.0,839.0,479.0,509.0,816.0,229.0
149,2016-05-29,2385,1044,97.0,344.0,242.0,104.0,112.0,204.0,38.0
150,2016-05-30,1789,745,179.0,362.0,194.0,83.0,50.0,170.0,39.0
151,2016-05-31,2157,701,144.0,292.0,204.0,77.0,87.0,200.0,70.0
152,2016-06-01,1735,662,141.0,274.0,220.0,82.0,102.0,154.0,48.0
153,2016-06-02,1389,931,146.0,345.0,231.0,46.0,67.0,91.0,6.0
154,2016-06-03,4715,1994,357.0,806.0,468.0,376.0,312.0,730.0,141.0
155,2016-06-04,3658,2237,338.0,1000.0,749.0,284.0,361.0,646.0,216.0
156,2016-06-05,1846,987,114.0,339.0,174.0,47.0,115.0,126.0,25.0
157,2016-06-06,1255,455,117.0,217.0,123.0,56.0,106.0,95.0,63.0
158,2016-06-07,1425,675,137.0,354.0,175.0,125.0,70.0,166.0,44.0
159,2016-06-08,2019,945,226.0,375.0,147.0,105.0,174.0,138.0,25.0
160,2016-06-09,2122,782,168.0,218.0,175.0,94.0,90.0,118.0,47.0
161,2016-06-10,6053,2613,319.0,1293.0,615.0,285.0,374.0,670.0,233.0
162,2016-06-11,4290,2359,539.0,1175.0,736.0,329.0,519.0,722.0,278.0
163,2016-06-12,2032,914,122.0,307.0,207.0,97.0,85.0,268.0,62.0
164,2016-06-13,1378,409,119.0,416.0,168.0,45.0,91.0,115.0,45.0
165,2016-06-14,1691,738,132.0,283.0,112.0,82.0,85.0,117.0,51.0
166,2016-06-15,2394,1020,176.0,394.0,169.0,127.0,134.0,171.0,32.0
167,2016-06-16,2461,1191,228.0,406.0,165.0,157.0,137.0,142.0,31.0
168,2016-06-17,6517,2403,668.0,1181.0,627.0,340.0,437.0,778.0,249.0
169,2016-06-18,4574,2442,673.0,1180.0,831.0,384.0,598.0,794.0,277.0
170,2016-06-19,2398,1171,214.0,332.0,312.0,90.0,121.0,134.0,83.0
171,2016-06-20,1576,542,171.0,179.0,149.0,103.0,47.0,196.0,22.0
172,2016-06-21,2212,872,120.0,318.0,200.0,62.0,52.0,160.0,22.0
173,2016-06-22,2701,1038,258.0,503.0,183.0,233.0,133.0,207.0,39.0
174,2016-06-23,3477,882,256.0,296.0,326.0,128.0,197.0,81.0,32.0
175,2016-06-24,8573,3777,814.0,1488.0,781.0,452.0,656.0,885.0,135.0
176,2016-06-25,5147,3015,677.0,1374.0,888.0,556.0,743.0,1015.0,241.0
177,2016-06-26,2478,1149,163.0,374.0,318.0,152.0,146.0,261.0,33.0
178,2016-06-27,2021,962,141.0,365.0,246.0,122.0,127.0,170.0,36.0
179,2016-06-28,2659,928,169.0,402.0,141.0,82.0,97.0,216.0,47.0
180,2016-06-29,3613,1477,132.0,436.0,320.0,130.0,180.0,251.0,48.0
181,2016-06-30,3250,1218,245.0,290.0,212.0,102.0,110.0,156.0,33.0
182,2016-07-01,5273,2405,669.0,1017.0,528.0,251.0,314.0,630.0,232.0
183,2016-07-02,4082,2189,448.0,1158.0,686.0,284.0,459.0,794.0,140.0
184,2016-07-03,1879,725,97.0,212.0,271.0,82.0,103.0,129.0,81.0
185,2016-07-04,1334,616,146.0,262.0,209.0,60.0,61.0,112.0,8.0
186,2016-07-05,1954,600,108.0,278.0,166.0,130.0,89.0,161.0,28.0
187,2016-07-06,2454,758,182.0,425.0,174.0,176.0,186.0,181.0,73.0
188,2016-07-07,2195,740,201.0,333.0,147.0,98.0,112.0,174.0,46.0
189,2016-07-08,6415,2563,507.0,1111.0,675.0,333.0,376.0,705.0,157.0
190,2016-07-09,4668,2208,611.0,1082.0,743.0,620.0,529.0,830.0,226.0
191,2016-07-10,1714,919,145.0,284.0,186.0,180.0,92.0,115.0,66.0
192,2016-07-11,1706,756,150.0,207.0,122.0,106.0,75.0,119.0,29.0
193,2016-07-12,1786,707,147.0,270.0,213.0,69.0,155.0,136.0,71.0
194,2016-07-13,2914,1219,231.0,523.0,184.0,197.0,104.0,121.0,30.0
195,2016-07-14,2940,862,172.0,443.0,230.0,146.0,100.0,207.0,32.0
196,2016-07-15,6927,2539,594.0,1067.0,888.0,353.0,536.0,610.0,154.0
197,2016-07-16,4660,2299,586.0,1110.0,833.0,470.0,546.0,762.0,206.0
198,2016-07-17,3199,1522,311.0,941.0,476.0,213.0,297.0,375.0,75.0
199,2016-07-18,1433,811,164.0,365.0,243.0,93.0,114.0,100.0,38.0
200,2016-07-19,1877,801,141.0,434.0,156.0,113.0,151.0,144.0,31.0
201,2016-07-20,2963,1066,164.0,472.0,212.0,193.0,153.0,211.0,76.0
202,2016-07-21,2783,1043,359.0,577.0,261.0,189.0,133.0,168.0,64.0
203,2016-07-22,7259,2836,455.0,1350.0,821.0,422.0,423.0,964.0,158.0
204,2016-07-23,4445,2251,552.0,1145.0,591.0,338.0,589.0,721.0,185.0
205,2016-07-24,2233,851,141.0,388.0,258.0,115.0,131.0,154.0,28.0
206,2016-07-25,2091,680,196.0,396.0,177.0,98.0,102.0,173.0,39.0
207,2016-07-26,2626,793,138.0,433.0,222.0,202.0,88.0,212.0,73.0
208,2016-07-27,2804,1200,199.0,607.0,347.0,130.0,125.0,122.0,86.0
209,2016-07-28,3295,1080,171.0,590.0,270.0,163.0,109.0,220.0,65.0
210,2016-07-29,8357,2938,410.0,1549.0,784.0,516.0,448.0,1160.0,163.0
211,2016-07-30,4080,2640,633.0,985.0,734.0,447.0,492.0,807.0,139.0
212,2016-07-31,2042,1036,229.0,301.0,223.0,112.0,198.0,159.0,57.0
213,2016-08-01,1632,492,160.0,215.0,162.0,43.0,60.0,119.0,12.0
214,2016-08-02,1767,753,118.0,304.0,140.0,137.0,120.0,145.0,43.0
215,2016-08-03,2640,1046,243.0,549.0,244.0,102.0,149.0,171.0,81.0
216,2016-08-04,2586,1086,203.0,450.0,239.0,204.0,116.0,204.0,45.0
217,2016-08-05,5827,2912,415.0,918.0,775.0,331.0,443.0,842.0,87.0
218,2016-08-06,3307,1770,511.0,1083.0,603.0,422.0,356.0,627.0,143.0
219,2016-08-07,1561,928,136.0,284.0,312.0,98.0,102.0,73.0,52.0
220,2016-08-08,1745,854,134.0,351.0,342.0,110.0,148.0,216.0,57.0
221,2016-08-09,2545,844,270.0,433.0,260.0,193.0,93.0,227.0,98.0
222,2016-08-10,4382,2612,514.0,1191.0,637.0,370.0,522.0,510.0,125.0
223,2016-08-11,2173,1431,306.0,797.0,437.0,267.0,336.0,332.0,89.0
224,2016-08-12,3015,1921,411.0,795.0,725.0,366.0,522.0,639.0,155.0
225,2016-08-13,2860,2189,305.0,797.0,692.0,357.0,323.0,634.0,161.0
226,2016-08-14,2051,1790,260.0,625.0,474.0,220.0,510.0,377.0,109.0
227,2016-08-15,1367,1202,179.0,519.0,311.0,237.0,396.0,343.0,91.0
228,2016-08-16,1645,1012,226.0,364.0,303.0,147.0,115.0,217.0,54.0
229,2016-08-17,2184,953,132.0,474.0,346.0,119.0,216.0,231.0,64.0
230,2016-08-18,2132,1024,190.0,435.0,277.0,90.0,125.0,183.0,40.0
231,2016-08-19,4620,2369,475.0,864.0,557.0,376.0,336.0,551.0,209.0
232,2016-08-20,3881,2070,568.0,1141.0,673.0,354.0,434.0,747.0,286.0
233,2016-08-21,2137,1117,176.0,431.0,241.0,81.0,80.0,140.0,100.0
234,2016-08-22,1347,831,111.0,321.0,161.0,93.0,114.0,198.0,76.0
235,2016-08-23,1905,1048,141.0,398.0,193.0,113.0,210.0,272.0,45.0
236,2016-08-24,2900,1269,164.0,522.0,239.0,118.0,173.0,305.0,78.0
237,2016-08-25,3030,1143,197.0,394.0,214.0,157.0,122.0,183.0,31.0
238,2016-08-26,6072,2705,559.0,1272.0,735.0,307.0,399.0,722.0,141.0
239,2016-08-27,4535,2478,514.0,1408.0,935.0,376.0,472.0,862.0,179.0
240,2016-08-28,2069,1201,174.0,403.0,281.0,158.0,147.0,184.0,27.0
241,2016-08-29,2025,955,174.0,300.0,164.0,84.0,145.0,117.0,24.0
242,2016-08-30,2002,889,198.0,311.0,223.0,111.0,84.0,165.0,13.0
243,2016-08-31,2872,1205,198.0,364.0,376.0,115.0,101.0,98.0,47.0
244,2016-09-01,1671,601,177.0,381.0,150.0,121.0,110.0,186.0,21.0
245,2016-09-02,4787,2068,422.0,749.0,548.0,228.0,354.0,618.0,82.0
246,2016-09-03,3811,2046,518.0,715.0,639.0,366.0,394.0,656.0,119.0
247,2016-09-04,1660,1074,201.0,178.0,225.0,109.0,119.0,181.0,59.0
248,2016-09-05,1661,611,161.0,292.0,140.0,147.0,69.0,110.0,37.0
249,2016-09-06,1731,621,168.0,313.0,159.0,101.0,33.0,109.0,23.0
250,2016-09-07,2287,1074,155.0,387.0,238.0,144.0,103.0,147.0,38.0
251,2016-09-08,2278,1020,136.0,507.0,281.0,109.0,143.0,231.0,59.0
252,2016-09-09,5389,2505,510.0,1104.0,723.0,306.0,321.0,715.0,91.0
253,2016-09-10,3887,2265,640.0,1011.0,751.0,495.0,401.0,985.0,265.0
254,2016-09-11,1848,860,139.0,314.0,299.0,78.0,124.0,137.0,50.0
255,2016-09-12,1601,755,123.0,337.0,192.0,89.0,105.0,152.0,33.0
256,2016-09-13,2097,823,204.0,343.0,275.0,117.0,158.0,140.0,54.0
257,2016-09-14,2587,1179,137.0,363.0,302.0,162.0,181.0,255.0,52.0
258,2016-09-15,2708,1213,140.0,438.0,210.0,198.0,215.0,249.0,82.0
259,2016-09-16,5665,2550,453.0,931.0,543.0,367.0,395.0,697.0,137.0
260,2016-09-17,3739,2311,539.0,1006.0,931.0,371.0,520.0,868.0,175.0
261,2016-09-18,3162,1841,378.0,730.0,705.0,262.0,463.0,382.0,121.0
262,2016-09-19,1887,889,205.0,350.0,206.0,113.0,129.0,118.0,19.0
263,2016-09-20,2024,799,243.0,306.0,221.0,107.0,95.0,223.0,47.0
264,2016-09-21,4343,2024,401.0,1104.0,572.0,492.0,395.0,477.0,138.0
265,2016-09-22,1987,1006,172.0,369.0,271.0,150.0,346.0,230.0,48.0
266,2016-09-23,4542,2252,444.0,907.0,577.0,303.0,496.0,608.0,86.0
267,2016-09-24,4650,2433,553.0,1365.0,734.0,476.0,537.0,975.0,165.0
268,2016-09-25,2104,1083,134.0,309.0,294.0,153.0,100.0,203.0,59.0
269,2016-09-26,2453,1032,311.0,338.0,222.0,208.0,146.0,195.0,46.0
270,2016-09-27,2567,1184,191.0,552.0,321.0,193.0,223.0,277.0,71.0
271,2016-09-28,3880,1334,295.0,577.0,255.0,224.0,223.0,249.0,29.0
272,2016-09-29,3343,1299,271.0,552.0,435.0,225.0,261.0,288.0,73.0
273,2016-09-30,9000,3136,607.0,1212.0,700.0,542.0,582.0,931.0,92.0
274,2016-10-01,3753,1964,533.0,966.0,588.0,452.0,456.0,665.0,180.0
275,2016-10-02,1857,938,96.0,469.0,261.0,71.0,200.0,202.0,25.0
276,2016-10-03,2066,659,119.0,261.0,165.0,124.0,111.0,110.0,18.0
277,2016-10-04,2049,650,174.0,237.0,116.0,132.0,124.0,125.0,12.0
278,2016-10-05,2427,1149,295.0,372.0,217.0,136.0,217.0,214.0,62.0
279,2016-10-06,2672,983,291.0,288.0,244.0,132.0,114.0,242.0,52.0
280,2016-10-07,6336,2848,476.0,854.0,577.0,419.0,361.0,692.0,125.0
281,2016-10-08,3976,2013,640.0,1028.0,878.0,242.0,595.0,696.0,211.0
282,2016-10-09,3159,1719,414.0,933.0,582.0,261.0,501.0,410.0,88.0
283,2016-10-10,1954,787,306.0,318.0,235.0,112.0,112.0,124.0,67.0
284,2016-10-11,2396,870,272.0,333.0,215.0,172.0,215.0,122.0,76.0
285,2016-10-12,2785,1089,161.0,358.0,284.0,117.0,143.0,214.0,32.0
286,2016-10-13,2663,1029,192.0,489.0,265.0,147.0,221.0,206.0,85.0
287,2016-10-14,6680,2526,584.0,983.0,758.0,474.0,459.0,783.0,182.0
288,2016-10-15,4298,2351,687.0,1122.0,763.0,369.0,597.0,563.0,224.0
289,2016-10-16,2229,1139,319.0,479.0,337.0,144.0,148.0,218.0,35.0
290,2016-10-17,1750,708,174.0,261.0,304.0,119.0,150.0,123.0,65.0
291,2016-10-18,2128,782,327.0,426.0,234.0,209.0,169.0,181.0,54.0
292,2016-10-19,3401,1333,216.0,436.0,278.0,154.0,133.0,268.0,22.0
293,2016-10-20,2782,1209,175.0,355.0,230.0,164.0,138.0,225.0,22.0
294,2016-10-21,6730,2987,551.0,1231.0,897.0,364.0,402.0,824.0,219.0
295,2016-10-22,6032,2708,604.0,1546.0,822.0,392.0,568.0,845.0,233.0
296,2016-10-23,2786,1159,219.0,458.0,208.0,130.0,157.0,191.0,51.0
297,2016-10-24,1983,720,250.0,283.0,166.0,140.0,116.0,107.0,45.0
298,2016-10-25,2647,937,200.0,300.0,243.0,148.0,136.0,200.0,22.0
299,2016-10-26,4015,1283,241.0,492.0,382.0,253.0,156.0,205.0,41.0
300,2016-10-27,4420,1501,290.0,726.0,451.0,293.0,208.0,341.0,127.0
301,2016-10-28,8961,4137,1067.0,1705.0,1054.0,580.0,685.0,1018.0,525.0
302,2016-10-29,6609,3708,1356.0,2012.0,1207.0,612.0,913.0,1252.0,452.0
303,2016-10-30,3448,1896,310.0,640.0,388.0,215.0,416.0,400.0,170.0
304,2016-10-31,2832,1112,271.0,560.0,295.0,136.0,246.0,226.0,58.0
305,2016-11-01,2065,734,262.0,405.0,380.0,261.0,120.0,171.0,25.0
306,2016-11-02,5358,2388,597.0,1185.0,688.0,299.0,518.0,496.0,282.0
307,2016-11-03,2667,1148,277.0,487.0,354.0,226.0,193.0,197.0,96.0
308,2016-11-04,5364,1854,600.0,1031.0,673.0,331.0,407.0,611.0,197.0
309,2016-11-05,5417,3167,874.0,1287.0,1073.0,637.0,766.0,993.0,345.0
310,2016-11-06,2754,1467,234.0,442.0,217.0,148.0,102.0,232.0,82.0
311,2016-11-07,1873,738,305.0,476.0,201.0,150.0,193.0,115.0,75.0
312,2016-11-08,2862,968,267.0,385.0,242.0,140.0,148.0,300.0,64.0
313,2016-11-09,3266,1419,326.0,578.0,406.0,200.0,117.0,231.0,60.0
314,2016-11-10,3248,3484,363.0,584.0,284.0,289.0,179.0,218.0,144.0
315,2016-11-11,6735,3468,835.0,1349.0,821.0,557.0,531.0,803.0,186.0
316,2016-11-12,5973,3192,938.0,1483.0,1204.0,669.0,841.0,1199.0,541.0
317,2016-11-13,2942,1632,366.0,694.0,462.0,205.0,171.0,346.0,87.0
318,2016-11-14,2213,1099,275.0,492.0,261.0,227.0,164.0,117.0,131.0
319,2016-11-15,2597,915,327.0,620.0,309.0,215.0,174.0,222.0,101.0
320,2016-11-16,3675,1445,368.0,718.0,370.0,301.0,181.0,354.0,117.0
321,2016-11-17,4081,1453,395.0,510.0,314.0,325.0,224.0,378.0,103.0
322,2016-11-18,8162,3321,1061.0,1353.0,1131.0,691.0,560.0,1022.0,481.0
323,2016-11-19,7265,3676,1262.0,2112.0,1624.0,659.0,865.0,1481.0,443.0
324,2016-11-20,3498,1664,472.0,766.0,342.0,226.0,241.0,385.0,70.0
